-64,64
-64,64
-64,64
-64,64
-64,64
-64,64
-64,64
-64,64
-64,64
-64,64
-57,60
-50,56
-44,54
-41,52
-39,51
-37,50
-32,56
-23,69
-9,85
7,103
27,123
49,141
75,157
103,169
125,176
147,178
170,172
193,161
218,147
244,134
271,118
295,98
317,76
338,52
358,27
378,1
395,-26
409,-55
419,-85
428,-116
439,-147
448,-178
454,-203
458,-220
458,-238
456,-261
455,-287
455,-315
455,-345
451,-376
442,-405
430,-433
417,-462
406,-492
398,-516
393,-533
390,-544
387,-551
386,-556
385,-559
384,-561
383,-563
383,-564
383,-565
383,-565
383,-566
383,-566
383,-566
382,-559
381,-543
384,-522
388,-505
391,-486
394,-462
399,-436
406,-408
412,-379
418,-348
422,-317
425,-285
422,-253
417,-222
409,-191
398,-161
383,-132
369,-103
356,-73
340,-44
324,-16
308,12
295,42
286,73
282,104
279,129
275,153
265,178
251,202
239,220
230,232
224,241
214,244
203,245
190,242
172,235
150,224
125,213
98,203
70,193
40,184
9,180
-21,182
-51,188
-82,194
-114,201
-139,206
-161,214
-183,228
-203,247
-218,270
-228,297
-231,325
-228,353
-219,380
-203,404
-182,423
-157,437
-130,449
-100,458
-70,466
-39,474
-7,478
24,478
55,474
87,468
118,459
146,445
171,427
191,404
207,378
222,351
239,324
259,298
277,272
293,243
306,214
319,184
334,155
347,124
358,94
369,62
378,31
388,0
395,-32
397,-64
398,-90
397,-114
392,-140
381,-166
366,-190
346,-212
325,-234
304,-258
281,-280
256,-299
229,-316
201,-332
172,-347
142,-361
124,-367
113,-367
97,-369
78,-376
55,-386
31,-398
5,-412
-21,-425
-49,-439
-78,-453
-108,-467
-137,-482
-166,-498
-195,-514
-223,-530
-252,-546
-282,-561
-64,64
